transactionId,kind
TXN_00003,underpayment
TXN_00028,duplicate_photo
TXN_00080,weight_shortfall
TXN_00107,duplicate_photo
TXN_00123,underpayment
TXN_00126,weight_shortfall
TXN_00152,weight_shortfall
TXN_00156,duplicate_photo
TXN_00169,weight_shortfall
TXN_00191,duplicate_photo
TXN_00230,underpayment
TXN_00249,duplicate_photo
TXN_00257,underpayment
TXN_00259,weight_shortfall
TXN_00290,underpayment
TXN_00335,duplicate_photo
TXN_00339,weight_shortfall
TXN_00341,underpayment
TXN_00411,underpayment
TXN_00430,underpayment
TXN_00441,weight_shortfall
TXN_00446,duplicate_photo
TXN_00447,weight_shortfall
TXN_00471,weight_shortfall
TXN_00514,underpayment
TXN_00561,duplicate_photo
TXN_00565,underpayment
TXN_00567,duplicate_photo
TXN_00587,underpayment
TXN_00606,underpayment
TXN_00609,underpayment
TXN_00619,duplicate_photo
TXN_00622,weight_shortfall
TXN_00677,weight_shortfall
TXN_00722,weight_shortfall
TXN_00753,underpayment
TXN_00758,duplicate_photo
TXN_00773,duplicate_photo
TXN_00820,underpayment
TXN_00847,underpayment
TXN_00858,underpayment
TXN_00881,underpayment
TXN_00921,underpayment
TXN_00985,weight_shortfall
TXN_00987,weight_shortfall
TXN_00994,duplicate_photo
TXN_01009,duplicate_photo
TXN_01012,duplicate_photo
TXN_01028,underpayment
TXN_01029,underpayment
