lotId,collectorId,status,itemCount,totalWeightKg,estimatedValueInr,locality,district,state,lat,lon,collectedAt,recyclerId,quotedPriceInr,updatedAt
LOT_00001,COL_0030,paid,4,38.43,7084.59,Ambad,Nashik,Maharashtra,20.054039723090828,73.84068575078174,2026-08-02T16:13:00.000Z,REC_012,6858.02,2026-08-03T02:44:00.000Z
LOT_00002,COL_0053,paid,2,1.75,302.55,Panchavati,Nashik,Maharashtra,20.017365649938583,73.80767908494472,2026-01-04T15:06:00.000Z,REC_013,309.01,2026-01-07T02:50:00.000Z
LOT_00003,COL_0059,paid,1,70.7,1248.01,Kothrud,Pune,Maharashtra,18.56345156227201,73.89544640604481,2026-03-25T16:34:00.000Z,REC_003,1233.3,2026-03-27T05:38:00.000Z
LOT_00004,COL_0004,paid,2,87.98,2112.78,Hadapsar,Pune,Maharashtra,18.456629016445575,73.79930611480103,2026-07-16T09:49:00.000Z,REC_001,2324.23,2026-07-18T16:33:00.000Z
LOT_00005,COL_0059,paid,2,115.1,1879.53,Kothrud,Pune,Maharashtra,18.533945736707746,73.86889116303698,2025-12-04T08:02:00.000Z,REC_001,1800.17,2025-12-06T16:02:00.000Z
LOT_00006,COL_0041,paid,3,41.78,906.4,Bommanahalli,Bengaluru Urban,Karnataka,12.9798801829651,77.60205216466859,2026-04-30T19:50:00.000Z,REC_021,884.72,2026-05-02T19:02:00.000Z
LOT_00007,COL_0025,paid,1,5.33,2134.61,Bhosari,Pune,Maharashtra,18.569998142057656,73.90133832785189,2025-09-30T11:36:00.000Z,REC_002,2102.88,2025-10-02T17:34:00.000Z
LOT_00008,COL_0040,paid,2,58.24,841.68,Andheri East,Mumbai Suburban,Maharashtra,19.07979278483093,72.83927350634782,2026-01-25T15:54:00.000Z,REC_007,829.39,2026-01-27T18:59:00.000Z
LOT_00009,COL_0045,ready,1,0.4,12.76,Bommanahalli,Bengaluru Urban,Karnataka,12.948727887308598,77.57401509857773,2026-01-24T11:06:00.000Z,,,2026-01-24T11:06:00.000Z
LOT_00010,COL_0026,ready,3,185.38,2013.32,Mundka,New Delhi,Delhi,28.571267649264634,77.17063088433818,2026-02-12T11:06:00.000Z,,,2026-02-12T11:06:00.000Z
LOT_00011,COL_0031,paid,2,37.67,686.73,Govandi,Mumbai Suburban,Maharashtra,19.123828991433978,72.87890609229058,2026-01-24T06:42:00.000Z,REC_007,665.34,2026-01-24T20:27:00.000Z
LOT_00012,COL_0009,paid,2,50.02,8987.69,Ambad,Nashik,Maharashtra,19.993204295262693,73.78593386573642,2025-12-22T11:33:00.000Z,REC_013,8883.88,2025-12-22T22:40:00.000Z
LOT_00013,COL_0045,paid,4,52.23,918.46,Bommanahalli,Bengaluru Urban,Karnataka,12.920440065039696,77.54855605853572,2026-03-31T07:39:00.000Z,REC_021,960.69,2026-04-02T18:42:00.000Z
LOT_00014,COL_0030,paid,2,7.78,1247.9,Ambad,Nashik,Maharashtra,20.015787149854003,73.80625843486861,2026-03-19T07:33:00.000Z,REC_013,1219.07,2026-03-19T17:36:00.000Z
LOT_00015,COL_0019,paid,4,5.05,1240.59,Wagle Estate,Thane,Maharashtra,19.163545157144963,72.92882064143046,2025-11-14T15:06:00.000Z,REC_011,1099.88,2025-11-16T23:13:00.000Z
LOT_00016,COL_0020,confirmed,3,182.29,3909.1,Bhiwandi,Thane,Maharashtra,19.24302437150776,73.00035193435698,2025-10-08T16:30:00.000Z,REC_010,3800.95,2025-10-08T23:10:00.000Z
LOT_00017,COL_0031,paid,1,33.74,1177.19,Bhandup,Mumbai Suburban,Maharashtra,19.070498469328882,72.83090862239598,2026-01-09T12:27:00.000Z,REC_007,1049.69,2026-01-10T04:58:00.000Z
LOT_00018,COL_0014,paid,1,25.22,309.7,Bhosari,Pune,Maharashtra,18.590660165780783,73.9199341492027,2025-10-31T14:20:00.000Z,REC_004,286.26,2025-11-02T05:15:00.000Z
LOT_00019,COL_0022,paid,1,0.57,66.67,Govandi,Mumbai Suburban,Maharashtra,19.075814605733754,72.83569314516038,2026-07-08T16:36:00.000Z,REC_008,64.56,2026-07-10T01:06:00.000Z
LOT_00020,COL_0046,paid,1,2.91,97.16,Katraj,Pune,Maharashtra,18.450853246459364,73.79410792181343,2025-11-11T19:20:00.000Z,REC_003,91.82,2025-11-12T08:12:00.000Z
LOT_00021,COL_0028,paid,1,5.37,154.87,Bhandup,Mumbai Suburban,Maharashtra,19.137314924231173,72.89104343180804,2026-05-05T12:51:00.000Z,REC_007,143.09,2026-05-06T14:56:00.000Z
LOT_00022,COL_0025,handed_over,2,91.31,1278.04,Pimpri,Pune,Maharashtra,18.55357468587309,73.88655721728578,2026-01-13T18:33:00.000Z,REC_005,1196.67,2026-01-14T09:33:00.000Z
LOT_00023,COL_0047,confirmed,3,42.33,1956.6,Seelampur,New Delhi,Delhi,28.595671643944087,77.19259447954968,2026-05-02T14:11:00.000Z,REC_019,1913.28,2026-05-03T02:07:00.000Z
LOT_00024,COL_0027,paid,2,47.59,15337.7,Ambad,Nashik,Maharashtra,19.918156711570916,73.71839104041382,2025-12-13T17:33:00.000Z,REC_012,13815.4,2025-12-15T05:03:00.000Z
LOT_00025,COL_0043,ready,4,54.43,12985.3,Pimpri,Pune,Maharashtra,18.461974567258356,73.80411711053253,2026-06-23T17:55:00.000Z,,,2026-06-23T17:55:00.000Z
LOT_00026,COL_0060,ready,2,18.64,4234.07,Butibori,Nagpur,Maharashtra,21.180852598901094,79.11974733901098,2026-08-10T16:50:00.000Z,,,2026-08-10T16:50:00.000Z
LOT_00027,COL_0002,paid,2,19.8,6191.13,Kurla,Mumbai Suburban,Maharashtra,19.106549041835965,72.86335413765237,2025-12-07T13:09:00.000Z,REC_007,6178.53,2025-12-09T15:51:00.000Z
LOT_00028,COL_0052,paid,2,2.21,496.76,Peenya,Bengaluru Urban,Karnataka,12.98656029701084,77.60806426730976,2026-06-11T06:11:00.000Z,REC_020,497.47,2026-06-13T00:55:00.000Z
LOT_00029,COL_0036,confirmed,2,16.9,2565.5,Govandi,Mumbai Suburban,Maharashtra,19.161921389034394,72.91318925013094,2026-01-02T09:13:00.000Z,REC_008,2568.27,2026-01-03T21:02:00.000Z
LOT_00030,COL_0006,ready,1,0.29,57.23,Andheri East,Mumbai Suburban,Maharashtra,19.122799501834812,72.87797955165132,2026-02-24T18:14:00.000Z,,,2026-02-24T18:14:00.000Z
LOT_00031,COL_0044,ready,2,35.67,5885.28,Katraj,Pune,Maharashtra,18.49885660444349,73.83731094399914,2025-10-22T18:32:00.000Z,,,2025-10-22T18:32:00.000Z
LOT_00032,COL_0059,paid,1,39.14,3547.9,Pimpri,Pune,Maharashtra,18.46566821564883,73.80744139408395,2026-07-08T15:31:00.000Z,REC_002,3450.4,2026-07-08T21:19:00.000Z
LOT_00033,COL_0022,paid,2,18.76,2712.59,Andheri East,Mumbai Suburban,Maharashtra,19.181317343941334,72.9306456095472,2026-02-05T10:30:00.000Z,REC_007,2705.75,2026-02-08T02:38:00.000Z
LOT_00034,COL_0012,confirmed,2,34.5,4174.82,Hadapsar,Pune,Maharashtra,18.531611586222052,73.86679042759985,2025-09-24T12:04:00.000Z,REC_003,4536.25,2025-09-26T10:58:00.000Z
LOT_00035,COL_0016,paid,2,5.85,1514.77,Andheri East,Mumbai Suburban,Maharashtra,19.138689805014433,72.89228082451298,2025-12-04T10:56:00.000Z,REC_007,1354.86,2025-12-05T13:29:00.000Z
LOT_00036,COL_0043,paid,2,30.5,2339.8,Wagholi,Pune,Maharashtra,18.527620636717973,73.86319857304618,2026-08-23T12:40:00.000Z,REC_004,2063.75,2026-08-24T02:41:00.000Z
LOT_00037,COL_0015,ready,3,62.64,14241.35,Waluj,Chhatrapati Sambhajinagar,Maharashtra,19.91838175902963,75.38126358312667,2025-12-16T12:28:00.000Z,,,2025-12-16T12:28:00.000Z
LOT_00038,COL_0014,handed_over,1,34.22,14351.2,Katraj,Pune,Maharashtra,18.51135649059862,73.84856084153876,2025-12-30T09:04:00.000Z,REC_004,14213.33,2026-01-01T05:04:00.000Z
LOT_00039,COL_0032,paid,1,24.55,530.85,Andheri East,Mumbai Suburban,Maharashtra,19.18579933304936,72.93467939974441,2025-12-28T06:26:00.000Z,REC_007,537.61,2025-12-30T13:31:00.000Z
LOT_00040,COL_0020,ready,1,29.63,13374.21,Wagle Estate,Thane,Maharashtra,19.222028156015277,72.98145534041375,2026-09-01T16:12:00.000Z,,,2026-09-01T16:12:00.000Z
LOT_00041,COL_0057,confirmed,2,141.87,1511.13,Kamptee,Nagpur,Maharashtra,21.13446665132344,79.07799998619109,2026-05-10T06:45:00.000Z,REC_014,1384.62,2026-05-11T09:54:00.000Z
LOT_00042,COL_0049,ready,2,36.94,5654.92,Mayapuri,New Delhi,Delhi,28.630230310925842,77.22369727983326,2026-08-01T06:47:00.000Z,,,2026-08-01T06:47:00.000Z
LOT_00043,COL_0012,paid,2,97.05,1256.38,Pimpri,Pune,Maharashtra,18.448908015908298,73.79235721431748,2026-08-29T17:49:00.000Z,REC_003,1296.55,2026-08-30T15:28:00.000Z
LOT_00044,COL_0048,paid,2,5.32,854.43,Ulhasnagar,Thane,Maharashtra,19.151452234330772,72.91793701089769,2026-06-05T19:42:00.000Z,REC_011,823.83,2026-06-06T06:53:00.000Z
LOT_00045,COL_0019,paid,3,47.34,1825.24,Bhiwandi,Thane,Maharashtra,19.287639014701544,73.04050511323139,2026-02-02T18:20:00.000Z,REC_010,1797.35,2026-02-04T04:52:00.000Z
