materialId,lotId,categoryId,subCategoryId,description,imageRefs,approxWeightKg,unit,quantity,condition,sourceType,estimatedValueInr,classificationSource,createdAt
MAT_000001,LOT_00001,cable,cable_mixed_scrap,,synthetic://images/cable_mixed_scrap/36ddf6b602a0.jpg,29.19,kg,1,broken,street_pickup,4730.67,collector,2026-08-02T16:13:00.000Z
MAT_000002,LOT_00001,pcb,pcb_motherboard,,synthetic://images/pcb_motherboard/fcbc4c5f4a3d.jpg,6.18,kg,10,partially_dismantled,household,1895.7,collector,2026-08-02T16:13:00.000Z
MAT_000003,LOT_00001,pcb,pcb_ram_gold,,synthetic://images/pcb_ram_gold/a19f0c06e3b4.jpg,0.47,kg,12,burnt,household,282.79,collector,2026-08-02T16:13:00.000Z
MAT_000004,LOT_00001,motor_magnet,motor_speaker_magnet,,synthetic://images/motor_speaker_magnet/dae91158cfb5.jpg,2.59,kg,5,partially_dismantled,household,175.43,collector,2026-08-02T16:13:00.000Z
MAT_000005,LOT_00002,pcb,pcb_cpu_processor,,synthetic://images/pcb_cpu_processor/870f4e2edf06.jpg,0.11,kg,5,intact,aggregator,521.92,collector,2026-07-15T14:10:00.000Z
MAT_000006,LOT_00003,crt,crt_yoke,,synthetic://images/crt_yoke/1615a9374ae0.jpg,2.9,kg,6,partially_dismantled,office,225.33,recycler_corrected,2026-08-30T12:04:00.000Z
MAT_000007,LOT_00003,pcb,pcb_tv_low_grade,,synthetic://images/pcb_tv_low_grade/b921d1e4faf7.jpg,3.21,kg,5,intact,shop,389.5,collector,2026-08-30T12:04:00.000Z
MAT_000008,LOT_00004,cable,cable_aluminium,,synthetic://images/cable_aluminium/e83ec3d08ec0.jpg,22.94,kg,1,wet,aggregator,2401.8,collector,2026-01-02T08:46:00.000Z
MAT_000009,LOT_00005,pcb,pcb_power_supply,,synthetic://images/pcb_power_supply/aa737a45a90c.jpg,14.91,kg,11,wet,shop,1524.43,recycler_corrected,2026-09-01T11:04:00.000Z
MAT_000010,LOT_00006,pcb,pcb_motherboard,,synthetic://images/pcb_motherboard/4fa3e2af0293.jpg,0.83,kg,1,partially_dismantled,household,297.32,collector,2025-10-25T10:58:00.000Z
MAT_000011,LOT_00006,cable,cable_aluminium,,synthetic://images/cable_aluminium/c3da454b1d3b.jpg,33.5,kg,1,intact,office,4774.42,collector,2025-10-25T10:58:00.000Z
MAT_000012,LOT_00006,crt,crt_monitor,,synthetic://images/crt_monitor/9d0c249868e0.jpg,90.1,kg,6,intact,repair_shop,788.83,collector,2025-10-25T10:58:00.000Z
MAT_000013,LOT_00007,pcb,pcb_power_supply,,synthetic://images/pcb_power_supply/9e1d5a33347e.jpg,3.57,kg,3,burnt,office,207,collector,2025-12-02T09:39:00.000Z
MAT_000014,LOT_00008,motor_magnet,motor_fan_ac,,synthetic://images/motor_fan_ac/999ef24ca37c.jpg,26.91,kg,9,intact,street_pickup,4309.91,collector,2025-11-04T10:31:00.000Z
MAT_000015,LOT_00008,crt,crt_yoke,,synthetic://images/crt_yoke/935146c7f508.jpg,3.77,kg,5,intact,office,290.03,collector,2025-11-04T10:31:00.000Z
MAT_000016,LOT_00009,motor_magnet,motor_speaker_magnet,,synthetic://images/motor_speaker_magnet/34b679932e7e.jpg,2.06,kg,4,partially_dismantled,office,159.72,collector,2025-12-11T08:35:00.000Z
MAT_000017,LOT_00009,pcb,pcb_tv_low_grade,,synthetic://images/pcb_tv_low_grade/239b87183700.jpg,3.6,kg,8,broken,shop,353.32,collector,2025-12-11T08:35:00.000Z
MAT_000018,LOT_00010,pcb,pcb_ram_gold,,synthetic://images/pcb_ram_gold/60f29af0b52c.jpg,0.34,kg,11,intact,aggregator,562.32,collector,2025-12-19T06:51:00.000Z
MAT_000019,LOT_00011,battery,battery_lead_acid_ups,,synthetic://images/battery_lead_acid_ups/a2388fdd9430.jpg,15.36,kg,2,intact,street_pickup,1607.12,collector,2025-12-08T09:40:00.000Z
MAT_000020,LOT_00012,mixed_plastic,plastic_hips_tv,,synthetic://images/plastic_hips_tv/30d0a9a543e2.jpg,28.71,kg,1,burnt,aggregator,301.41,collector,2026-01-22T15:53:00.000Z
MAT_000021,LOT_00013,pcb,pcb_cpu_processor,,synthetic://images/pcb_cpu_processor/b900dc88eb85.jpg,0.15,kg,7,intact,shop,714.6,collector,2026-04-05T09:14:00.000Z
MAT_000022,LOT_00014,pcb,pcb_power_supply,,synthetic://images/pcb_power_supply/21feb5dacc50.jpg,4.65,kg,4,intact,repair_shop,650.21,collector,2026-01-18T11:20:00.000Z
MAT_000023,LOT_00014,cable,cable_data_thin,,synthetic://images/cable_data_thin/d495421d6b69.jpg,14.45,kg,1,intact,household,2033.84,collector,2026-01-18T11:20:00.000Z
MAT_000024,LOT_00014,battery,battery_button_cell,,synthetic://images/battery_button_cell/484af1fb1787.jpg,13.34,kg,1,intact,aggregator,1395.63,collector,2026-01-18T11:20:00.000Z
