priceId,categoryId,subCategoryId,district,state,observedAt,buyingPriceInr,quotedPriceInr,unit,currency,marketLowInr,marketHighInr,recyclerId,source,confidence
PRC_000466,lcd_panel,led_backlight_strip,Pune,Maharashtra,2025-09-02T07:44:00.000Z,96.34,,kg,INR,60.38,130.82,REC_003,field_survey,0.85
PRC_008799,pcb,pcb_motherboard,Nagpur,Maharashtra,2025-09-02T08:23:00.000Z,357.99,,kg,INR,194.42,388.84,REC_015,aggregator_board,0.55
PRC_003507,battery,battery_button_cell,Mumbai Suburban,Maharashtra,2025-09-02T08:30:00.000Z,106.97,,kg,INR,64.65,150.85,,aggregator_board,0.55
PRC_009461,cable,cable_mixed_scrap,Nagpur,Maharashtra,2025-09-02T08:46:00.000Z,181.47,197.11,kg,INR,119,237.99,,recycler_quote,0.7
PRC_012037,motor_magnet,motor_speaker_magnet,Chhatrapati Sambhajinagar,Maharashtra,2025-09-02T08:54:00.000Z,65.03,75.85,kg,INR,40.38,85.25,REC_016,recycler_quote,0.7
PRC_000001,crt,crt_tv,Pune,Maharashtra,2025-09-02T09:06:00.000Z,5.71,,kg,INR,4,9,REC_002,aggregator_board,0.55
PRC_000675,pcb,pcb_cpu_processor,Pune,Maharashtra,2025-09-02T09:11:00.000Z,4483.21,,kg,INR,1811.39,6541.13,,field_survey,0.85
PRC_009680,battery,battery_lead_acid_ups,Nagpur,Maharashtra,2025-09-02T09:30:00.000Z,76.46,,kg,INR,68.84,96.37,REC_015,recycler_quote,0.7
PRC_014555,crt,crt_monitor,Bengaluru Urban,Karnataka,2025-09-02T09:48:00.000Z,8.7,,kg,INR,5.3,11.65,,completed_transaction,0.9
PRC_000160,crt,crt_yoke,Pune,Maharashtra,2025-09-02T09:56:00.000Z,63.3,,kg,INR,54.72,94.52,REC_004,completed_transaction,0.9
PRC_015325,pcb,pcb_power_supply,Bengaluru Urban,Karnataka,2025-09-02T10:12:00.000Z,162.64,175.03,kg,INR,94.92,200.38,,recycler_quote,0.7
PRC_003586,motor_magnet,motor_hdd_assembly,Mumbai Suburban,Maharashtra,2025-09-02T10:13:00.000Z,264.18,280.86,kg,INR,193.82,366.11,REC_007,recycler_quote,0.7
PRC_011560,cable,cable_mixed_scrap,Chhatrapati Sambhajinagar,Maharashtra,2025-09-02T10:20:00.000Z,171.98,205.83,kg,INR,116.41,232.82,,aggregator_board,0.55
PRC_001708,motor_magnet,motor_speaker_magnet,Pune,Maharashtra,2025-09-02T10:27:00.000Z,74.72,,kg,INR,44.87,94.72,REC_002,completed_transaction,0.9
PRC_000235,lcd_panel,lcd_tv_panel,Pune,Maharashtra,2025-09-02T10:37:00.000Z,19.73,22.88,kg,INR,13.99,27.99,REC_001,completed_transaction,0.9
