sampleId,imageRef,imageHash,labelCategoryId,labelSubCategoryId,labelSource,weightKg,district,observedPriceInr,finalPriceInr,capturedAt,split,synthetic
TRN_000001,synthetic://images/cable_mixed_scrap/36ddf6b602a0.jpg,36ddf6b602a0,cable,cable_mixed_scrap,collector,29.19,Nashik,4730.67,4454.55,2026-08-02T16:13:00.000Z,train,true
TRN_000002,synthetic://images/pcb_motherboard/fcbc4c5f4a3d.jpg,fcbc4c5f4a3d,pcb,pcb_motherboard,collector,6.18,Nashik,1895.7,1785.05,2026-08-02T16:13:00.000Z,train,true
TRN_000003,synthetic://images/pcb_ram_gold/a19f0c06e3b4.jpg,a19f0c06e3b4,pcb,pcb_ram_gold,collector,0.47,Nashik,282.79,266.28,2026-08-02T16:13:00.000Z,test,true
TRN_000004,synthetic://images/motor_speaker_magnet/dae91158cfb5.jpg,dae91158cfb5,motor_magnet,motor_speaker_magnet,collector,2.59,Nashik,175.43,165.19,2026-08-02T16:13:00.000Z,val,true
TRN_000005,synthetic://images/motor_hdd_assembly/2a2035a2870f.jpg,2a2035a2870f,motor_magnet,motor_hdd_assembly,collector,1.39,Nashik,284.96,299.53,2026-01-04T15:06:00.000Z,test,true
TRN_000006,synthetic://images/motor_speaker_magnet/2cd8eeb07170.jpg,2cd8eeb07170,motor_magnet,motor_speaker_magnet,collector,0.36,Nashik,17.59,18.49,2026-01-04T15:06:00.000Z,val,true
TRN_000007,synthetic://images/lcd_tv_panel/4faf71619a27.jpg,4faf71619a27,lcd_panel,lcd_tv_panel,collector,70.7,Pune,1248.01,1270,2026-03-25T16:34:00.000Z,train,true
TRN_000008,synthetic://images/crt_monitor/616cf22ed137.jpg,616cf22ed137,crt,crt_monitor,collector,77.75,Pune,658.28,747.7,2026-07-16T09:49:00.000Z,train,true
TRN_000009,synthetic://images/cable_aluminium/75e05115dbfa.jpg,75e05115dbfa,cable,cable_aluminium,collector,10.23,Pune,1454.5,1652.07,2026-07-16T09:49:00.000Z,train,true
TRN_000010,synthetic://images/cable_aluminium/a3e2af02936f.jpg,a3e2af02936f,cable,cable_aluminium,collector,12.51,Pune,1197.61,1123.74,2025-12-04T08:02:00.000Z,train,true
TRN_000011,synthetic://images/crt_monitor/a454b1d3ba73.jpg,a454b1d3ba73,crt,crt_monitor,recycler_corrected,102.59,Pune,681.92,639.86,2025-12-04T08:02:00.000Z,train,true
TRN_000012,synthetic://images/pcb_ram_gold/7888eae5e5b3.jpg,7888eae5e5b3,pcb,pcb_ram_gold,collector,0.15,Bengaluru Urban,163.38,157.58,2026-04-30T19:50:00.000Z,train,true
TRN_000013,synthetic://images/pcb_ram_gold/4a2537e9e1d5.jpg,4a2537e9e1d5,pcb,pcb_ram_gold,recycler_corrected,0.19,Bengaluru Urban,242.42,233.82,2026-04-30T19:50:00.000Z,train,true
TRN_000014,synthetic://images/plastic_mixed_dirty/dc7b0401d589.jpg,dc7b0401d589,mixed_plastic,plastic_mixed_dirty,collector,41.44,Bengaluru Urban,500.6,482.83,2026-04-30T19:50:00.000Z,train,true
TRN_000015,synthetic://images/cable_copper_house/6c7f50808e59.jpg,6c7f50808e59,cable,cable_copper_house,collector,5.33,Pune,2134.61,2109.66,2025-09-30T11:36:00.000Z,train,true
TRN_000016,synthetic://images/pcb_ram_gold/5f834b679932.jpg,5f834b679932,pcb,pcb_ram_gold,collector,0.25,Mumbai Suburban,330.99,321.74,2026-01-25T15:54:00.000Z,train,true
TRN_000017,synthetic://images/crt_monitor/a4e239b87183.jpg,a4e239b87183,crt,crt_monitor,collector,57.99,Mumbai Suburban,510.69,496.43,2026-01-25T15:54:00.000Z,train,true
TRN_000018,synthetic://images/motor_speaker_magnet/e85b0d32d806.jpg,e85b0d32d806,motor_magnet,motor_speaker_magnet,collector,0.4,Bengaluru Urban,12.76,,2026-01-24T11:06:00.000Z,val,true
TRN_000019,synthetic://images/crt_tv/4c406cd43c9f.jpg,4c406cd43c9f,crt,crt_tv,collector,182.36,New Delhi,1209.63,,2026-02-12T11:06:00.000Z,val,true
TRN_000020,synthetic://images/crt_yoke/70ca732562a9.jpg,70ca732562a9,crt,crt_yoke,collector,2.72,New Delhi,242.73,,2026-02-12T11:06:00.000Z,train,true
TRN_000021,synthetic://images/pcb_ram_gold/22c16c55116f.jpg,22c16c55116f,pcb,pcb_ram_gold,collector,0.3,New Delhi,560.96,,2026-02-12T11:06:00.000Z,train,true
TRN_000022,synthetic://images/crt_tv/88eb85d6cc25.jpg,88eb85d6cc25,crt,crt_tv,collector,21.88,Mumbai Suburban,135.82,130.82,2026-01-24T06:42:00.000Z,train,true
TRN_000023,synthetic://images/plastic_abs_casing/6621feb5dacc.jpg,6621feb5dacc,mixed_plastic,plastic_abs_casing,collector,15.79,Mumbai Suburban,550.91,530.63,2026-01-24T06:42:00.000Z,val,true
TRN_000024,synthetic://images/cable_mixed_scrap/d42d452729bc.jpg,d42d452729bc,cable,cable_mixed_scrap,collector,29.65,Nashik,6109.44,6055.32,2025-12-22T11:33:00.000Z,train,true
TRN_000025,synthetic://images/cable_aluminium/be0406ecc28c.jpg,be0406ecc28c,cable,cable_aluminium,recycler_corrected,20.37,Nashik,2878.25,2852.75,2025-12-22T11:33:00.000Z,train,true
TRN_000026,synthetic://images/pcb_ram_gold/7c510dae52cb.jpg,7c510dae52cb,pcb,pcb_ram_gold,collector,0.1,Bengaluru Urban,163.67,166.87,2026-03-31T07:39:00.000Z,train,true
TRN_000027,synthetic://images/plastic_mixed_dirty/8b59c22169e8.jpg,8b59c22169e8,mixed_plastic,plastic_mixed_dirty,collector,29.17,Bengaluru Urban,348.29,355.1,2026-03-31T07:39:00.000Z,train,true
TRN_000028,synthetic://images/plastic_mixed_dirty/c8b19945239c.jpg,c8b19945239c,mixed_plastic,plastic_mixed_dirty,recycler_corrected,13.57,Bengaluru Urban,162.03,165.2,2026-03-31T07:39:00.000Z,train,true
TRN_000029,synthetic://images/plastic_abs_casing/ed9346ca393a.jpg,ed9346ca393a,mixed_plastic,plastic_abs_casing,collector,9.39,Bengaluru Urban,244.47,249.25,2026-03-31T07:39:00.000Z,train,true
TRN_000030,synthetic://images/motor_fan_ac/ce489d1e8a2a.jpg,ce489d1e8a2a,motor_magnet,motor_fan_ac,collector,7.69,Nashik,918.38,874.25,2026-03-19T07:33:00.000Z,test,true
TRN_000031,synthetic://images/pcb_cpu_processor/6772db22e196.jpg,6772db22e196,pcb,pcb_cpu_processor,collector,0.09,Nashik,329.52,313.69,2026-03-19T07:33:00.000Z,test,true
TRN_000032,synthetic://images/pcb_ram_gold/46225cf80f80.jpg,46225cf80f80,pcb,pcb_ram_gold,collector,0.03,Thane,44.9,39.4,2025-11-14T15:06:00.000Z,train,true
