transactionId,lotId,collectorId,recyclerId,categorySummary,totalWeightKg,estimatedValueInr,quotedPriceInr,finalPriceInr,collectionDistrict,handoverDistrict,handoverAt,paymentStatus,paymentMode,paidAt,status,anomalyFlags
TXN_00001,LOT_00001,COL_0030,REC_012,cable|pcb|motor_magnet,38.43,7084.59,6858.02,6671.08,Nashik,Nashik,2026-08-03T00:13:00.000Z,paid,cash,2026-08-03T02:44:00.000Z,completed,
TXN_00002,LOT_00002,COL_0053,REC_013,motor_magnet,1.75,302.55,309.01,318.02,Nashik,Nashik,2026-01-07T01:06:00.000Z,paid,cash,2026-01-07T02:50:00.000Z,completed,
TXN_00003,LOT_00003,COL_0059,REC_003,lcd_panel,70.7,1248.01,1233.3,1270,Pune,Pune,2026-03-27T05:34:00.000Z,paid,bank_transfer,2026-03-27T05:38:00.000Z,completed,
TXN_00004,LOT_00004,COL_0004,REC_001,crt|cable,87.98,2112.78,2324.23,2399.77,Pune,Pune,2026-07-18T14:49:00.000Z,paid,upi,2026-07-18T16:33:00.000Z,completed,WEIGHT_MISMATCH_AT_HANDOVER
TXN_00005,LOT_00005,COL_0059,REC_001,cable|crt,115.1,1879.53,1800.17,1763.6,Pune,Pune,2025-12-06T15:02:00.000Z,paid,cash,2025-12-06T16:02:00.000Z,completed,
TXN_00006,LOT_00006,COL_0041,REC_021,pcb|mixed_plastic,41.78,906.4,884.72,874.23,Bengaluru Urban,Bengaluru Urban,2026-05-02T16:50:00.000Z,paid,cash,2026-05-02T19:02:00.000Z,completed,
TXN_00007,LOT_00007,COL_0025,REC_002,cable,5.33,2134.61,2102.88,2109.66,Pune,Pune,2025-10-02T13:36:00.000Z,paid,cash,2025-10-02T17:34:00.000Z,completed,
TXN_00008,LOT_00008,COL_0040,REC_007,pcb|crt,58.24,841.68,829.39,818.17,Mumbai Suburban,Mumbai Suburban,2026-01-27T16:54:00.000Z,paid,cash,2026-01-27T18:59:00.000Z,completed,
TXN_00009,LOT_00011,COL_0031,REC_007,crt|mixed_plastic,37.67,686.73,665.34,661.45,Mumbai Suburban,Mumbai Suburban,2026-01-24T18:42:00.000Z,paid,cash,2026-01-24T20:27:00.000Z,completed,
TXN_00010,LOT_00012,COL_0009,REC_013,cable,50.02,8987.69,8883.88,8908.07,Nashik,Nashik,2025-12-22T21:33:00.000Z,paid,upi,2025-12-22T22:40:00.000Z,completed,
TXN_00011,LOT_00013,COL_0045,REC_021,pcb|mixed_plastic,52.23,918.46,960.69,936.43,Bengaluru Urban,Bengaluru Urban,2026-04-02T16:39:00.000Z,paid,cash,2026-04-02T18:42:00.000Z,completed,
TXN_00012,LOT_00014,COL_0030,REC_013,motor_magnet|pcb,7.78,1247.9,1219.07,1187.94,Nashik,Nashik,2026-03-19T17:33:00.000Z,paid,upi,2026-03-19T17:36:00.000Z,completed,
TXN_00013,LOT_00015,COL_0019,REC_011,pcb|motor_magnet|battery,5.05,1240.59,1099.88,1088.64,Thane,Thane,2025-11-16T23:06:00.000Z,paid,cash,2025-11-16T23:13:00.000Z,completed,
TXN_00014,LOT_00016,COL_0020,REC_010,crt|motor_magnet|pcb,182.29,3909.1,3800.95,3749.04,Thane,Thane,2025-10-08T21:30:00.000Z,unpaid,cash,,completed,
TXN_00015,LOT_00017,COL_0031,REC_007,mixed_plastic,33.74,1177.19,1049.69,1003.62,Mumbai Suburban,Mumbai Suburban,2026-01-10T03:27:00.000Z,paid,cash,2026-01-10T04:58:00.000Z,completed,
TXN_00016,LOT_00018,COL_0014,REC_004,mixed_plastic,25.22,309.7,286.26,289.83,Pune,Pune,2025-11-02T04:20:00.000Z,paid,cash,2025-11-02T05:15:00.000Z,completed,
TXN_00017,LOT_00019,COL_0022,REC_008,pcb,0.57,66.67,64.56,61.2,Mumbai Suburban,Mumbai Suburban,2026-07-10T00:36:00.000Z,paid,cash,2026-07-10T01:06:00.000Z,completed,
TXN_00018,LOT_00020,COL_0046,REC_003,mixed_plastic,2.91,97.16,91.82,89.66,Pune,Pune,2025-11-12T04:20:00.000Z,paid,cash,2025-11-12T08:12:00.000Z,completed,
TXN_00019,LOT_00021,COL_0028,REC_007,mixed_plastic,5.37,154.87,143.09,140.71,Mumbai Suburban,Mumbai Suburban,2026-05-06T11:51:00.000Z,paid,cash,2026-05-06T14:56:00.000Z,completed,
TXN_00020,LOT_00022,COL_0025,REC_005,lcd_panel|battery,91.31,1278.04,1196.67,710.94,Pune,Pune,2026-01-14T09:33:00.000Z,unpaid,cash,,pending,PRICE_FAR_BELOW_MARKET|FINAL_BELOW_QUOTE
TXN_00021,LOT_00023,COL_0047,REC_019,pcb|lcd_panel|crt,42.33,1956.6,1913.28,1893.36,New Delhi,New Delhi,2026-05-02T23:11:00.000Z,unpaid,cash,,completed,
TXN_00022,LOT_00024,COL_0027,REC_012,cable,47.59,15337.7,13815.4,13684.56,Nashik,Nashik,2025-12-15T01:33:00.000Z,paid,cash,2025-12-15T05:03:00.000Z,completed,
TXN_00023,LOT_00027,COL_0002,REC_007,cable|motor_magnet,19.8,6191.13,6178.53,6305.2,Mumbai Suburban,Mumbai Suburban,2025-12-09T14:09:00.000Z,paid,bank_transfer,2025-12-09T15:51:00.000Z,completed,
TXN_00024,LOT_00028,COL_0052,REC_020,battery|motor_magnet,2.21,496.76,497.47,501.82,Bengaluru Urban,Bengaluru Urban,2026-06-12T22:11:00.000Z,paid,cash,2026-06-13T00:55:00.000Z,completed,
TXN_00025,LOT_00029,COL_0036,REC_008,battery|pcb,16.9,2565.5,2568.27,2569.01,Mumbai Suburban,Mumbai Suburban,2026-01-03T17:13:00.000Z,partial,cash,,completed,
TXN_00026,LOT_00032,COL_0059,REC_002,battery,39.14,3547.9,3450.4,3376.98,Pune,Pune,2026-07-08T17:31:00.000Z,paid,cash,2026-07-08T21:19:00.000Z,completed,
TXN_00027,LOT_00033,COL_0022,REC_007,cable|motor_magnet,18.76,2712.59,2705.75,2698.47,Mumbai Suburban,Mumbai Suburban,2026-02-08T00:30:00.000Z,paid,upi,2026-02-08T02:38:00.000Z,completed,
TXN_00028,LOT_00034,COL_0012,REC_003,cable|lcd_panel,34.5,4174.82,4536.25,4632.88,Pune,Pune,2025-09-26T09:04:00.000Z,partial,upi,,completed,
TXN_00029,LOT_00035,COL_0016,REC_007,motor_magnet|battery,5.85,1514.77,1354.86,1342.9,Mumbai Suburban,Mumbai Suburban,2025-12-05T10:56:00.000Z,paid,cash,2025-12-05T13:29:00.000Z,completed,
TXN_00030,LOT_00036,COL_0043,REC_004,motor_magnet|mixed_plastic,30.5,2339.8,2063.75,2103.69,Pune,Pune,2026-08-23T23:40:00.000Z,paid,cash,2026-08-24T02:41:00.000Z,completed,
TXN_00031,LOT_00038,COL_0014,REC_004,cable,34.22,14351.2,14213.33,14090.84,Pune,Pune,2026-01-01T05:04:00.000Z,unpaid,cash,,pending,
TXN_00032,LOT_00039,COL_0032,REC_007,mixed_plastic,24.55,530.85,537.61,529.35,Mumbai Suburban,Mumbai Suburban,2025-12-30T10:26:00.000Z,paid,bank_transfer,2025-12-30T13:31:00.000Z,completed,
TXN_00033,LOT_00041,COL_0057,REC_014,battery|crt,141.87,1511.13,1384.62,1390.94,Nagpur,Nagpur,2026-05-11T07:45:00.000Z,partial,cash,,completed,
TXN_00034,LOT_00043,COL_0012,REC_003,mixed_plastic|crt,97.05,1256.38,1296.55,1315.9,Pune,Pune,2026-08-30T14:49:00.000Z,paid,cash,2026-08-30T15:28:00.000Z,completed,
TXN_00035,LOT_00044,COL_0048,REC_011,motor_magnet|pcb,5.32,854.43,823.83,816.62,Thane,Thane,2026-06-06T06:42:00.000Z,paid,cash,2026-06-06T06:53:00.000Z,completed,
TXN_00036,LOT_00045,COL_0019,REC_010,mixed_plastic|motor_magnet|pcb,47.34,1825.24,1797.35,1755.93,Thane,Thane,2026-02-04T04:20:00.000Z,paid,cash,2026-02-04T04:52:00.000Z,completed,
TXN_00037,LOT_00046,COL_0041,REC_020,battery,2.85,692.4,677.11,702.96,Bengaluru Urban,Bengaluru Urban,2025-09-19T13:05:00.000Z,paid,cash,2025-09-19T14:35:00.000Z,completed,
TXN_00038,LOT_00047,COL_0007,REC_010,cable,30.23,4741.23,4768.25,4936.42,Thane,Thane,2026-02-18T15:23:00.000Z,paid,cash,2026-02-18T15:56:00.000Z,completed,
TXN_00039,LOT_00048,COL_0024,REC_007,mixed_plastic,36.73,1367.18,1337.8,1361.74,Mumbai Suburban,Mumbai Suburban,2026-04-11T20:59:00.000Z,paid,cash,2026-04-11T22:46:00.000Z,completed,
TXN_00040,LOT_00049,COL_0007,REC_010,battery,10.94,1127.37,1101.46,1116.21,Thane,Thane,2025-10-21T16:45:00.000Z,paid,cash,2025-10-21T20:06:00.000Z,completed,
TXN_00041,LOT_00051,COL_0029,REC_008,cable|pcb|mixed_plastic,12.97,1390.17,1483.36,1500.18,Mumbai Suburban,Mumbai Suburban,2026-03-20T03:16:00.000Z,paid,cash,2026-03-20T04:04:00.000Z,completed,
TXN_00042,LOT_00052,COL_0051,REC_008,lcd_panel|motor_magnet|pcb,16.34,2685.51,2487.59,2547.29,Mumbai Suburban,Mumbai Suburban,2026-03-04T10:18:00.000Z,paid,cash,2026-03-04T10:19:00.000Z,completed,
TXN_00043,LOT_00053,COL_0008,REC_012,cable|battery|pcb,49.23,5587.2,5426.61,5333.57,Nashik,Nashik,2026-08-24T15:00:00.000Z,paid,cash,2026-08-24T18:53:00.000Z,completed,
